soil_moisture,temperature_c,sunlight_hours,needs_water
0.24,25,10,1
0.6,18,4,0
0.2,33,7,1
0.64,26,7,0
0.38,30,2,0
0.85,28,3,0
0.17,30,1,1
0.34,27,8,1
0.15,21,9,1
0.84,23,4,0
0.8,24,6,0
0.27,22,9,1
0.61,28,6,0
0.74,30,12,0
0.52,27,12,1
0.5,27,12,1
0.26,28,9,1
0.13,24,4,1
0.81,35,8,0
0.82,21,9,0
0.59,19,4,0
0.34,31,5,1
0.35,30,8,1
0.67,29,12,0
0.81,24,10,0
0.8,19,6,0
0.71,30,12,0
0.6,31,7,0
0.12,34,3,1
0.19,26,7,1
0.81,34,12,0
0.57,25,8,0
0.06,19,10,1
0.14,30,6,1
0.61,20,10,0
0.05,33,9,1
0.19,23,6,1
0.52,24,12,0
0.64,27,9,0
0.6,26,4,0
0.24,19,8,1
0.66,32,11,0
0.25,22,4,0
0.33,21,2,0
0.68,21,10,0
0.6,35,11,1
0.77,21,9,0
0.61,34,5,0
0.53,29,4,0
0.13,34,2,1
0.36,27,1,0
0.28,18,11,1
0.26,35,7,1
0.88,35,6,0
0.38,31,2,1
0.81,32,8,0
0.59,29,11,0
0.73,21,4,0
0.48,20,8,0
0.54,29,7,0
0.47,24,5,0
0.22,28,10,1
0.66,18,10,0
0.29,23,12,1
0.07,32,8,1
0.6,32,9,0
0.2,28,5,1
0.85,19,10,0
0.86,31,5,0
0.83,19,2,0
0.36,21,5,0
0.06,34,3,1
0.84,20,7,0
0.41,30,10,1
0.87,26,5,0
0.87,24,8,0
0.78,32,1,0
0.3,28,3,1
0.38,19,3,0
0.77,32,9,0
0.32,31,5,1
0.19,28,12,1
0.52,20,9,0
0.85,34,9,0
0.64,29,1,0
0.53,32,2,0
0.13,33,5,1
0.57,22,4,0
0.89,23,10,0
0.17,22,9,1
0.49,20,7,0
0.8,18,6,0
0.68,23,7,0
0.64,32,1,0
0.65,19,1,0
0.36,20,8,0
0.3,34,2,1
0.74,29,12,0
0.74,35,10,0
0.79,32,11,0
0.83,29,9,0
0.48,33,7,1
0.48,25,6,0
0.73,31,1,0
0.6,34,1,0
0.65,25,2,0
0.73,32,6,0
0.81,31,6,0
0.34,35,2,1
0.37,24,1,0
0.13,20,10,1
0.54,29,5,0
0.08,20,5,1
0.45,31,2,0
0.51,32,6,0
0.29,31,9,1
0.55,24,2,0
0.08,34,10,1
0.08,29,2,1
0.75,21,3,0
0.36,26,7,1
0.16,23,6,1
0.49,33,12,1
0.7,19,8,0
0.23,25,8,1
0.58,28,6,0
0.12,30,12,1
0.09,34,11,1
0.5,25,10,0
0.51,35,3,0
0.59,35,3,0
0.67,31,1,0
0.88,32,7,0
0.49,23,5,0
0.32,28,4,1
0.73,30,10,0
0.28,18,4,0
0.42,23,4,0
0.12,26,6,1
0.07,25,8,1
0.87,28,8,0
0.76,26,5,0
0.64,34,6,0
0.4,29,4,0
0.2,31,12,1
0.18,32,11,1
0.26,33,9,1
0.52,18,8,0
0.66,27,10,0
0.61,25,12,0
0.29,35,10,1
0.86,18,1,0
0.68,19,2,0
0.52,18,9,0
0.57,18,8,0
0.41,26,3,0
0.26,30,8,1
0.35,18,12,0
0.69,30,1,0
0.06,24,10,1
0.15,19,4,1
0.09,23,3,1
0.08,24,6,1
0.78,31,7,0
0.65,35,4,0
0.45,32,7,1
0.13,19,9,1
0.47,27,11,1
0.45,29,2,0
0.2,34,11,1
0.42,25,3,0
0.39,28,5,0
0.57,20,3,0
0.59,23,11,0
0.09,26,8,1
0.37,23,12,1
0.58,26,10,0
0.48,24,8,0
0.78,26,8,0
0.61,35,12,1
0.19,29,12,1
0.11,25,9,1
0.6,25,4,0
0.07,35,5,1
0.55,32,5,0
0.85,24,8,0
0.54,28,7,0
0.38,33,9,1
0.6,21,8,0
0.44,23,2,0
0.51,20,10,0
0.85,26,12,0
0.38,27,4,0
0.87,31,6,0
0.82,28,12,0
0.22,35,2,1
0.11,29,7,1
0.14,29,3,1
0.07,30,3,1
0.13,30,11,1
0.63,31,2,0
0.11,21,11,1
0.32,30,8,1
0.77,25,6,0
0.07,29,1,1
0.74,35,12,0
0.29,23,1,0
0.15,35,7,1
0.64,22,8,0
0.58,26,5,0
0.8,20,12,0
0.67,27,11,0
0.73,20,5,0
0.29,32,4,1
0.2,18,6,0
0.69,24,6,0
0.74,29,3,0
0.89,34,9,0
0.4,22,12,1
0.37,21,11,0
0.71,29,7,0
0.34,35,1,1
0.84,34,7,0
0.78,26,5,0
0.41,21,5,0
0.69,19,2,0
0.69,21,4,0
0.14,19,12,1
0.82,32,6,0
0.48,19,10,0
0.75,21,11,0
0.32,23,7,0
0.81,24,11,0
0.38,27,5,0
0.06,29,9,1
0.82,20,3,0
0.13,30,1,1
0.32,35,4,1
0.86,25,9,0
0.86,32,4,0
0.54,18,2,0
0.59,20,10,0
0.43,25,5,0
0.3,21,3,0
0.33,33,12,1
0.62,27,9,0
0.69,29,4,0
0.72,31,6,0
0.72,31,2,0
0.13,19,6,1
0.47,22,3,0
0.1,22,12,1
0.52,23,12,0
0.43,30,9,1
0.8,26,11,0
0.35,32,2,1
0.15,31,12,1
0.17,24,12,1
0.7,19,9,0
0.58,24,5,0
0.14,23,8,1
0.12,34,2,1
0.65,19,6,0
0.11,20,3,1
0.75,22,12,0
0.65,22,12,0
0.12,18,10,1
0.12,25,5,1
0.89,29,12,0
0.37,21,8,0
0.37,30,10,1
0.74,32,1,0
0.86,28,5,0
0.89,27,3,0
0.69,20,4,0
0.37,31,2,1
0.12,33,9,1
0.71,27,3,0
0.52,27,2,0
0.41,29,10,1
0.82,26,11,0
0.14,18,9,1
0.47,22,7,0
0.06,25,6,1
0.45,28,1,0
0.1,29,5,1
0.15,18,12,1
0.15,28,11,1
0.6,22,11,0
0.68,32,3,0
0.55,22,1,0
0.87,29,4,0
0.37,22,2,0
0.29,34,2,1
0.79,34,3,0
0.24,29,8,1
0.87,32,8,0
0.06,32,12,1
0.87,23,7,0
0.09,29,6,1
0.81,35,9,0
0.5,31,4,0
0.89,19,12,0
0.11,26,1,1
0.52,22,8,0
0.87,18,7,0
0.49,20,7,0
0.58,23,3,0
0.64,22,4,0
0.44,22,10,0
0.58,18,9,0
0.55,34,6,1
0.82,31,5,0
0.09,29,3,1
0.29,27,9,1
0.86,35,5,0
0.81,28,5,0
0.44,19,4,0
0.58,35,4,0
0.29,24,12,1
0.21,32,1,1
0.44,28,7,0
0.35,35,9,1
0.55,29,3,0
0.12,23,12,1
0.88,30,2,0
0.89,33,3,0
0.64,35,1,0
0.51,27,6,0
0.31,25,11,1
0.74,35,11,0
0.63,18,7,0
0.19,25,11,1
0.82,23,11,0
0.75,22,2,0
0.86,32,8,0
0.67,32,6,0
0.57,19,4,0
0.41,18,5,0
0.84,28,8,0
0.79,27,3,0
0.09,35,3,1
0.07,35,11,1
0.37,34,4,1
0.74,25,1,0
0.89,32,9,0
0.18,25,8,1
0.56,34,8,1
0.37,29,10,1
0.87,25,6,0
0.77,31,7,0
0.76,21,6,0
0.45,18,9,0
0.4,18,3,0
0.28,33,3,1
0.1,31,3,1
0.79,33,10,0
0.74,22,3,0
0.9,26,9,0
0.9,19,12,0
0.52,35,4,1
0.7,23,7,0
0.85,26,9,0
0.77,18,11,0
0.26,26,12,1
0.43,33,7,1
0.16,30,9,1
0.86,26,12,0
0.57,30,3,0
0.24,26,4,1
0.62,28,8,0
0.58,21,6,0
0.35,19,5,0
0.15,23,4,1
0.62,31,8,0
0.49,21,1,0
0.71,23,9,0
0.49,23,1,0
0.77,19,8,0
0.52,35,4,1
0.53,30,9,0
0.8,26,11,0
0.39,30,5,1
0.16,28,3,1
0.07,18,9,1
0.69,24,11,0
0.58,32,9,0
0.65,18,4,0
0.23,29,11,1
0.17,24,4,1
0.06,32,12,1
0.35,18,8,0
0.55,34,2,0
0.38,34,9,1
0.42,20,6,0
0.82,29,9,0
0.35,23,8,0
0.49,28,7,0
0.72,20,1,0
0.39,25,12,1
0.58,31,3,0
0.78,31,11,0
0.86,27,2,0
0.18,19,5,1
0.84,31,5,0
0.47,26,5,0
0.27,20,4,0
0.44,25,5,0
0.88,33,3,0
0.47,19,12,0
0.33,23,1,0
0.59,29,5,0
0.25,22,9,1
0.11,19,9,1
0.16,33,4,1
0.16,22,3,1
0.18,32,1,1
0.17,29,2,1
0.59,21,8,0
0.2,32,1,1
0.34,28,8,1
0.81,33,7,0
0.45,23,8,0
0.62,31,12,0
0.2,35,6,1
0.21,29,12,1
0.08,28,9,1
0.19,30,3,1
0.29,28,10,1
0.2,33,4,1
0.13,32,6,1
0.15,32,8,1
0.44,21,5,0
0.23,28,3,1
0.36,32,6,1
0.48,21,4,0
0.64,30,9,0
0.08,19,3,1
0.73,31,4,0
0.58,21,7,0
0.12,33,7,1
0.79,31,12,0
0.83,32,12,0
0.1,20,4,1
0.29,25,6,1
0.74,33,12,0
0.69,27,3,0
0.21,21,6,1
0.23,35,12,1
0.36,19,2,0
0.46,34,8,1
0.58,30,2,0
0.36,21,11,1
0.44,28,7,0
0.69,24,9,0
0.08,29,1,1
0.26,27,8,1
0.66,24,7,0
0.81,30,6,0
0.48,24,6,0
0.5,34,6,1
0.14,27,9,1
0.43,27,2,0
0.5,21,1,0
0.26,21,12,1
0.28,24,6,1
0.37,18,10,0
0.07,29,11,1
0.32,30,8,1
0.23,27,3,1
0.33,32,12,1
0.15,30,10,1
0.81,26,1,0
0.55,26,9,0
0.63,32,1,0
0.72,27,3,0
0.47,27,8,0
0.12,25,3,1
0.51,33,4,0
0.55,34,8,1
0.68,22,1,0
0.42,21,6,0
0.16,35,1,1
0.29,21,1,0
0.36,24,8,1
0.6,27,11,0
0.54,35,4,0
0.35,21,12,1
0.89,27,1,0
0.56,18,10,0
0.25,35,7,1
0.14,22,5,1
0.18,32,5,1
0.26,34,1,1
0.19,20,10,1
0.21,29,11,1
0.29,19,6,0
0.2,18,9,1
0.81,34,9,0
0.12,33,8,1
0.5,22,5,0
0.4,32,1,0
0.89,20,9,0
0.15,24,1,1
0.39,28,8,1
0.87,27,5,0
0.79,26,3,0
0.74,31,11,0
0.27,30,7,1
0.2,19,7,1
0.62,20,9,0
0.84,24,7,0
0.52,35,11,1
0.54,20,3,0
0.29,27,11,1
0.7,24,1,0
0.21,26,8,1
0.33,34,12,1
0.41,28,3,0
0.48,24,12,0
0.26,31,8,1
0.15,21,8,1
0.57,23,5,0
0.3,27,12,1
0.54,24,1,0
0.18,30,10,1
0.46,31,7,1
0.5,21,12,0
0.09,25,10,1
0.34,22,5,0
0.16,18,8,1
0.1,21,9,1
0.89,20,11,0
0.32,26,7,1
0.74,25,7,0
0.27,18,1,0
0.63,23,4,0
0.7,26,2,0
0.56,24,2,0
0.45,21,2,0
0.4,30,4,1
0.35,34,1,1
0.84,19,4,0
0.76,22,2,0
0.87,29,5,0
0.16,25,3,1
0.67,23,12,0
0.85,25,8,0
0.2,35,4,1
0.11,20,1,1
0.68,29,1,0
0.54,20,12,0
0.77,23,10,0
0.17,19,3,0
0.73,29,9,0
0.22,19,7,1
0.19,23,2,1
0.19,34,9,1
0.74,20,10,0
0.62,19,2,0
0.49,25,3,0
0.36,29,11,1
0.8,21,10,0
0.38,22,2,0
0.74,30,3,0
0.42,32,6,1
0.37,33,9,1
0.44,27,9,1
0.31,33,7,1
0.69,29,12,0
0.48,34,3,1
0.25,33,4,1
0.81,29,6,0
0.38,25,11,1
0.51,20,5,0
0.82,33,2,0
0.58,30,6,0
0.15,25,3,1
0.85,22,8,0
0.58,25,2,0
0.33,29,1,0
0.17,18,9,1
0.72,23,12,0
0.58,35,3,0
0.5,25,11,0
0.81,24,1,0
0.72,18,7,0
0.18,33,10,1
0.31,29,5,1
0.26,23,5,1
0.68,19,1,0
0.08,31,9,1
0.53,21,7,0
0.7,18,8,0
0.8,35,9,0
0.34,30,6,1
0.75,19,12,0
0.14,26,5,1
0.77,19,6,0
0.16,26,11,1
0.39,18,2,0
0.73,28,4,0
0.18,20,3,0
0.24,21,7,1
0.66,35,9,0
0.66,23,5,0
0.59,20,6,0
0.64,28,10,0
0.51,32,12,1
0.26,22,12,1
0.34,27,2,0
0.2,29,3,1
0.82,32,3,0
0.55,34,12,1
0.39,27,12,1
0.44,23,9,0
0.86,35,7,0
0.18,30,8,1
0.55,20,11,0
0.48,27,10,0
0.57,31,11,1
0.07,23,9,1
0.79,20,6,0
0.84,33,4,0
0.53,24,12,0
0.64,31,1,0
0.83,26,8,0
0.65,32,7,0
0.18,20,2,0
0.54,19,8,0
0.57,19,12,0
0.41,20,5,0
0.68,35,7,0
0.84,31,4,0
0.84,35,5,0
0.43,27,8,1
0.15,19,1,0
0.89,18,1,0
0.76,21,4,0
0.16,31,3,1
0.83,18,10,0
0.79,31,12,0
0.49,33,2,0
0.55,31,12,1
0.39,20,3,0
0.1,20,11,1
0.33,26,11,1
0.73,23,11,0
0.05,30,1,1
0.33,19,1,0
0.39,25,6,0
0.51,19,5,0
0.83,21,8,0
0.34,32,2,1
0.34,21,4,0
0.68,30,8,0
0.43,29,12,1
0.24,30,6,1
0.43,31,1,0
0.17,35,4,1
0.2,23,1,0
0.47,28,2,0
0.41,19,5,0
0.83,22,8,0
0.36,19,8,0
0.54,27,11,0
0.59,19,3,0
0.06,28,11,1
0.61,35,4,0
0.2,32,10,1
0.87,26,11,0
0.18,26,6,1
0.4,20,11,0
0.12,26,11,1
0.9,31,10,0
0.48,24,3,0
0.56,33,2,0
0.11,33,6,1
0.69,18,11,0
0.23,21,5,0
0.81,21,10,0
0.22,24,5,1
0.21,25,10,1
0.08,34,5,1
0.45,22,10,0
0.53,24,12,0
0.11,21,5,1
0.71,23,3,0
0.44,24,7,0
0.5,35,6,1
0.42,22,4,0
0.39,20,2,0
0.53,24,12,0
0.18,31,9,1
0.2,24,1,1
0.78,22,11,0
0.85,22,4,0
0.37,19,1,0
0.28,23,6,1
0.6,32,4,0
0.4,27,5,0
0.07,24,5,1
0.18,22,9,1
0.66,18,1,0
0.61,30,2,0
0.07,35,6,1
0.24,30,5,1
0.25,35,11,1
0.62,22,7,0
0.07,30,3,1
0.14,21,3,1
0.73,34,10,0
0.2,20,2,0
0.6,34,3,0
0.25,28,10,1
0.13,21,1,1
0.26,19,5,0
0.66,33,12,1
0.78,35,5,0
0.76,25,12,0
0.39,20,11,0
0.62,26,7,0
0.22,23,4,1
0.3,27,3,1
0.81,27,1,0
0.06,30,12,1
0.12,34,8,1
0.23,26,3,1
0.07,34,2,1
0.2,26,11,1
0.55,26,4,0
0.41,18,3,0
0.81,19,1,0
0.74,33,3,0
0.34,18,12,0
0.27,27,2,1
0.37,35,8,1
0.55,25,6,0
0.28,28,9,1
0.58,19,8,0
0.4,25,10,1
0.52,25,3,0
0.42,34,5,1
0.3,32,7,1
0.86,34,5,0
0.7,30,8,0
0.17,22,12,1
0.79,29,5,0
0.46,18,1,0
0.81,22,5,0
0.73,25,4,0
0.41,30,6,1
0.07,25,3,1
0.28,28,11,1
0.51,18,5,0
0.59,30,2,0
0.27,20,11,1
0.17,34,6,1
0.76,22,12,0
0.89,25,6,0
0.5,31,5,0
0.2,21,6,1
0.28,28,11,1
0.07,32,7,1
0.83,24,12,0
0.15,28,5,1
0.54,22,1,0
0.28,22,8,1
0.52,25,4,0
0.6,27,9,0
0.76,23,10,0
0.23,32,12,1
0.06,33,6,1
0.17,34,1,1
0.82,25,3,0
0.79,25,3,0
0.56,26,10,0
0.56,19,12,0
0.62,32,12,1
0.2,35,4,1
0.83,20,6,0
0.41,34,7,1
0.38,21,10,0
0.49,21,4,0
0.09,31,6,1
0.19,26,11,1
0.68,26,1,0
0.12,35,8,1
0.56,27,7,0
0.26,21,11,1
0.38,29,11,1
0.3,25,9,1
0.35,19,3,0
0.66,30,2,0
0.3,33,1,1
0.53,19,3,0
0.45,28,5,0
0.61,27,11,0
0.85,32,2,0
0.67,34,12,1
0.23,25,3,1
0.08,35,4,1
0.27,26,7,1
0.56,25,3,0
0.09,31,9,1
0.47,35,8,1
0.56,29,4,0
0.33,31,1,1
0.71,34,1,0
0.14,20,1,0
0.11,24,1,1
0.67,34,8,0
0.47,29,3,0
0.64,26,6,0
0.42,32,3,1
0.26,35,11,1
0.75,30,5,0
0.73,25,7,0
0.64,31,2,0
0.28,25,6,1
0.55,31,6,0
0.36,24,11,1
0.13,29,3,1
0.83,28,6,0
0.17,28,10,1
0.86,30,10,0
0.43,35,5,1
